pathway,train_roc_auc_score,validation_roc_auc_score,train_gradient_boosting_roc_auc_score,validation_gradient_boosting_roc_auc_score
GO_POSITIVE_REGULATION_OF_PROTEIN_ACETYLATION,0.739530133,0.569811321,0.735750766,0.596226415
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,0.80020429,0.551572327,0.816138917,0.50754717
GO_MULTI_ORGANISM_REPRODUCTIVE_PROCESS,0.880081716,0.564150943,0.979162411,0.582389937
GO_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT,0.736670072,0.585534591,0.746475996,0.420754717
GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS,0.78886619,0.486792453,0.811644535,0.405660377
GO_DETECTION_OF_STIMULUS,0.899489275,0.650314465,0.970990807,0.675471698
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE,0.754443309,0.50754717,0.75648621,0.411949686
GO_FUCOSE_METABOLIC_PROCESS,0.665066394,0.543396226,0.658120531,0.636477987
GO_REGULATION_OF_AMINO_ACID_TRANSPORT,0.751378958,0.459119497,0.762717058,0.459119497
GO_APOPTOTIC_DNA_FRAGMENTATION,0.577425945,0.440251572,0.536159346,0.433962264
GO_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,0.802349336,0.542138365,0.824106231,0.431446541
GO_NEGATIVE_REGULATION_OF_LIPID_STORAGE,0.660163432,0.458490566,0.662819203,0.459748428
GO_REGULATION_OF_MICROVILLUS_ORGANIZATION,0.659141982,0.491823899,0.641164454,0.509433962
GO_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.63319714,0.546540881,0.63258427,0.479874214
GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,0.764351379,0.590566038,0.834831461,0.435849057
GO_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT,0.604392237,0.48490566,0.603983657,0.501257862
GO_MUSCLE_CELL_FATE_COMMITMENT,0.60020429,0.528930818,0.608375894,0.544025157
GO_PERIPHERAL_NERVOUS_SYSTEM_AXON_ENSHEATHMENT,0.725127681,0.533333333,0.725025536,0.472327044
GO_IRON_ION_IMPORT,0.609601634,0.538993711,0.609601634,0.538993711
GO_REGULATION_OF_METANEPHROS_DEVELOPMENT,0.724208376,0.528301887,0.721041879,0.462893082
GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING,0.701532176,0.504402516,0.710623085,0.478616352
GO_CELLULAR_RESPONSE_TO_AMINO_ACID_STIMULUS,0.760980592,0.610691824,0.795607763,0.524528302
GO_DNA_GEOMETRIC_CHANGE,0.819305414,0.581761006,0.831358529,0.567924528
GO_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY,0.642798774,0.534591195,0.63421859,0.532075472
GO_REGULATION_OF_MONOCYTE_DIFFERENTIATION,0.580592441,0.549685535,0.57814096,0.589937107
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION,0.670990807,0.585534591,0.660674157,0.628930818
GO_CERAMIDE_METABOLIC_PROCESS,0.789172625,0.608805031,0.831664964,0.579874214
GO_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,0.725842697,0.570440252,0.72288049,0.509433962
GO_REGULATION_OF_B_CELL_PROLIFERATION,0.78804903,0.693710692,0.790091931,0.666666667
GO_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,0.640755873,0.422641509,0.625638407,0.471698113
GO_SPINAL_CORD_ASSOCIATION_NEURON_DIFFERENTIATION,0.593667007,0.51509434,0.589581205,0.452201258
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,0.683861083,0.582389937,0.690806946,0.613836478
GO_DEOXYRIBOSE_PHOSPHATE_CATABOLIC_PROCESS,0.608580184,0.586163522,0.608784474,0.603773585
GO_HEART_VALVE_DEVELOPMENT,0.770480082,0.581132075,0.785597549,0.600628931
GO_GLYCOSYL_COMPOUND_METABOLIC_PROCESS,0.83421859,0.513207547,0.917568948,0.420754717
GO_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,0.651481103,0.559748428,0.66741573,0.506918239
GO_PEPTIDYL_TYROSINE_MODIFICATION,0.862819203,0.514465409,0.917466803,0.394968553
GO_LEUKOCYTE_CELL_CELL_ADHESION,0.902042901,0.659119497,0.964862104,0.591194969
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION,0.593258427,0.557861635,0.580592441,0.562893082
GO_NUCLEAR_PORE_COMPLEX_ASSEMBLY,0.651889683,0.506289308,0.637385087,0.506289308
GO_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.863023493,0.589937107,0.943820225,0.453459119
GO_PHOSPHATIDYLETHANOLAMINE_BIOSYNTHETIC_PROCESS,0.55648621,0.605031447,0.55648621,0.605031447
GO_ENDOCYTIC_RECYCLING,0.659244127,0.438993711,0.66762002,0.397484277
GO_CELLULAR_RESPONSE_TO_RADIATION,0.827885598,0.626415094,0.878651685,0.703144654
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.587231869,0.567924528,0.587231869,0.502515723
GO_REGULATION_OF_INTERLEUKIN_17_PRODUCTION,0.683350358,0.625786164,0.687027579,0.647798742
GO_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS,0.754443309,0.560377358,0.747497446,0.598742138
GO_SUPEROXIDE_ANION_GENERATION,0.629826353,0.482389937,0.631460674,0.483647799
GO_CELLULAR_RESPONSE_TO_KETONE,0.807354443,0.613207547,0.807967314,0.552201258
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION,0.614300306,0.547798742,0.614913177,0.557232704
GO_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,0.863840654,0.588050314,0.914402451,0.538993711
GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS,0.879264556,0.623899371,0.954545455,0.571698113
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,0.828702758,0.516981132,0.853524004,0.52327044
GO_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,0.684269663,0.633962264,0.688355465,0.583647799
GO_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.839121553,0.546540881,0.894892748,0.552830189
GO_URONIC_ACID_METABOLIC_PROCESS,0.729417773,0.577358491,0.747599591,0.567295597
GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY,0.7,0.618867925,0.689172625,0.613836478
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.896629213,0.559119497,0.955975485,0.570440252
GO_RESPONSE_TO_YEAST,0.604698672,0.517610063,0.601327886,0.532704403
GO_GAMETE_GENERATION,0.903983657,0.611320755,0.966496425,0.613207547
GO_KIDNEY_MESENCHYME_DEVELOPMENT,0.63340143,0.567295597,0.622574055,0.506918239
GO_REPLICATIVE_SENESCENCE,0.691726251,0.496855346,0.675178754,0.470440252
GO_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,0.863942799,0.486792453,0.94392237,0.450314465
GO_DENDRITIC_SPINE_ORGANIZATION,0.724923391,0.603144654,0.698774259,0.540251572
GO_COCHLEA_DEVELOPMENT,0.762410623,0.540880503,0.783554648,0.559119497
GO_HISTONE_H2A_ACETYLATION,0.614300306,0.533333333,0.615117467,0.464150943
GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,0.599284985,0.555974843,0.599693565,0.493081761
GO_CELLULAR_COMPONENT_MORPHOGENESIS,0.927170582,0.664150943,0.994177732,0.467924528
GO_CELL_AGING,0.7546476,0.544025157,0.770684372,0.482389937
GO_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,0.543207354,0.449685535,0.543207354,0.449685535
GO_ACTIVATION_OF_MAPKKK_ACTIVITY,0.602757916,0.531446541,0.602962206,0.49245283
GO_RRNA_3_END_PROCESSING,0.505515832,0.457861635,0.505515832,0.457861635
GO_GLUTATHIONE_METABOLIC_PROCESS,0.71072523,0.552830189,0.724412666,0.562264151
GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,0.899284985,0.664150943,0.975383044,0.620125786
GO_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION,0.637895812,0.566666667,0.628294178,0.570440252
GO_PYRIMIDINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT,0.596016343,0.518238994,0.596016343,0.518238994
GO_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,0.610623085,0.481761006,0.611235955,0.485534591
GO_ENERGY_HOMEOSTASIS,0.646578141,0.521383648,0.645454545,0.547798742
GO_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,0.657609806,0.583647799,0.636976507,0.549685535
GO_DEPHOSPHORYLATION,0.891419816,0.597484277,0.93237998,0.496226415
GO_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS,0.672931563,0.511320755,0.675178754,0.455974843
GO_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY,0.761287028,0.471698113,0.758835546,0.511949686
GO_UBIQUINONE_METABOLIC_PROCESS,0.548927477,0.540251572,0.548927477,0.540251572
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.863636364,0.68427673,0.929826353,0.736477987
GO_EARLY_ENDOSOME_TO_GOLGI_TRANSPORT,0.573953013,0.491823899,0.573953013,0.490566038
GO_POSITIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT,0.836465781,0.537106918,0.892951992,0.421383648
GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,0.885393258,0.713836478,0.947906027,0.68427673
GO_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,0.852808989,0.701886792,0.923901941,0.685534591
GO_BEHAVIORAL_RESPONSE_TO_COCAINE,0.696833504,0.540880503,0.701532176,0.498113208
GO_HISTONE_MRNA_METABOLIC_PROCESS,0.614504597,0.439622642,0.614504597,0.547798742
GO_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,0.735546476,0.63836478,0.771297242,0.645283019
GO_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS,0.568437181,0.564779874,0.577834525,0.564779874
GO_RESPONSE_TO_PARATHYROID_HORMONE,0.652196118,0.574842767,0.659141982,0.572327044
GO_HINDBRAIN_MORPHOGENESIS,0.792236977,0.671698113,0.79959142,0.632075472
GO_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,0.753524004,0.603773585,0.76659857,0.578616352
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,0.585291113,0.440880503,0.585291113,0.439622642
GO_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,0.701838611,0.570440252,0.706741573,0.567924528
GO_MUSCLE_HYPERTROPHY,0.722165475,0.52327044,0.73299285,0.501886792
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,0.793360572,0.546540881,0.816649642,0.548427673
GO_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,0.604187947,0.51509434,0.612768131,0.513836478
GO_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,0.64514811,0.457861635,0.629622063,0.475471698
GO_MULTICELLULAR_ORGANISMAL_SIGNALING,0.883656793,0.555974843,0.940245148,0.498113208
GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,0.913789581,0.640880503,0.963738509,0.613207547
GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,0.861695608,0.75408805,0.940551583,0.691194969
GO_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS,0.854954035,0.603144654,0.875076609,0.527044025
GO_CDP_DIACYLGLYCEROL_METABOLIC_PROCESS,0.585699694,0.473584906,0.575893769,0.462264151
GO_FUCOSYLATION,0.725944842,0.533962264,0.751072523,0.56163522
GO_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,0.66700715,0.501886792,0.668437181,0.532075472
GO_RHYTHMIC_PROCESS,0.870275792,0.534591195,0.954034729,0.55408805
GO_NEUROMUSCULAR_PROCESS_CONTROLLING_POSTURE,0.692849847,0.535849057,0.692645557,0.485534591
GO_MYOTUBE_DIFFERENTIATION,0.772625128,0.525786164,0.837793667,0.511949686
GO_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY,0.83319714,0.737735849,0.884065373,0.772327044
GO_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.853217569,0.537106918,0.922982635,0.58490566
GO_POSITIVE_REGULATION_OF_CELL_SIZE,0.720837589,0.511949686,0.707967314,0.451572327
GO_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,0.751583248,0.521383648,0.744024515,0.508805031
GO_PROTEIN_LOCALIZATION_TO_CELL_SURFACE,0.744433095,0.480503145,0.738508682,0.542138365
GO_REGULATION_OF_INTERLEUKIN_8_SECRETION,0.679162411,0.596226415,0.686108274,0.540880503
GO_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS,0.672829418,0.533962264,0.670173647,0.567924528
GO_PEPTIDYL_PROLINE_MODIFICATION,0.679877426,0.408176101,0.68968335,0.470440252
GO_POSITIVE_REGULATION_OF_NEURON_MIGRATION,0.67834525,0.511320755,0.67793667,0.502515723
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY,0.767722165,0.55408805,0.772522983,0.57672956
GO_PHOSPHOLIPID_TRANSPORT,0.855975485,0.567924528,0.867926456,0.523899371
GO_ACROSOME_REACTION,0.674872319,0.574842767,0.665883555,0.403144654
GO_SOMATIC_STEM_CELL_DIVISION,0.748723187,0.503773585,0.744433095,0.506289308
GO_HISTONE_MRNA_CATABOLIC_PROCESS,0.567517875,0.452201258,0.567517875,0.452201258
GO_ACETYL_COA_BIOSYNTHETIC_PROCESS,0.56618999,0.565408805,0.56618999,0.564150943
GO_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE,0.664044944,0.51572327,0.643615935,0.557861635
GO_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,0.798876404,0.549685535,0.831971399,0.525157233
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.790806946,0.421383648,0.828907048,0.497484277
GO_CARDIOLIPIN_METABOLIC_PROCESS,0.602247191,0.532075472,0.602451481,0.53081761
GO_REGULATION_OF_CELL_CYCLE_ARREST,0.769765066,0.527672956,0.832686415,0.482389937
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,0.728907048,0.540251572,0.745556691,0.48490566
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS,0.92288049,0.694339623,0.984882533,0.583647799
GO_FEMALE_GAMETE_GENERATION,0.820633299,0.503144654,0.839325843,0.561006289
GO_PLASMA_MEMBRANE_FUSION,0.701430031,0.588679245,0.701634321,0.527044025
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,0.837997957,0.34591195,0.874157303,0.41509434
GO_PROTEIN_HOMOOLIGOMERIZATION,0.857916241,0.60754717,0.928498468,0.495597484
GO_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH,0.716138917,0.585534591,0.74473953,0.596226415
GO_TRANSCRIPTION_FROM_RNA_POLYMERASE_I_PROMOTER,0.658120531,0.550314465,0.660776302,0.555974843
GO_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION,0.728907048,0.368553459,0.691828396,0.376100629
GO_NONMOTILE_PRIMARY_CILIUM_ASSEMBLY,0.665270684,0.45408805,0.665679265,0.45408805
GO_HEART_TRABECULA_FORMATION,0.617058223,0.53836478,0.607456588,0.53836478
GO_BODY_FLUID_SECRETION,0.807967314,0.636477987,0.820224719,0.62327044
GO_TOR_SIGNALING,0.667926456,0.527672956,0.669560776,0.512578616
GO_MEMBRANE_HYPERPOLARIZATION,0.666087845,0.483018868,0.659141982,0.361006289
GO_CELLULAR_WATER_HOMEOSTASIS,0.571910112,0.525157233,0.571910112,0.462264151
GO_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.802451481,0.467924528,0.870786517,0.467924528
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.848110317,0.685534591,0.852706844,0.645283019
GO_RESPONSE_TO_VITAMIN,0.779060266,0.48427673,0.862410623,0.555974843
GO_REGULATION_OF_ATPASE_ACTIVITY,0.75648621,0.603773585,0.79897855,0.528930818
GO_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,0.710214505,0.570440252,0.718998979,0.600628931
GO_STRIATED_MUSCLE_CELL_PROLIFERATION,0.640449438,0.510691824,0.641675179,0.525786164
GO_MUSCLE_FIBER_DEVELOPMENT,0.843615935,0.640880503,0.868130746,0.605660377
GO_THALAMUS_DEVELOPMENT,0.640449438,0.43836478,0.637793667,0.449685535
GO_STEROL_CATABOLIC_PROCESS,0.617671093,0.527044025,0.619305414,0.559748428
GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,0.781103166,0.333333333,0.788968335,0.331446541
GO_NEGATIVE_REGULATION_OF_CHEMOKINE_PRODUCTION,0.605209397,0.41509434,0.605209397,0.427672956
GO_DETERMINATION_OF_ADULT_LIFESPAN,0.757303371,0.443396226,0.709090909,0.483018868
GO_REGULATION_OF_PROTEIN_KINASE_C_SIGNALING,0.680898876,0.537735849,0.671705822,0.56918239
GO_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.880286006,0.451572327,0.939019408,0.388679245
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS,0.891930541,0.599371069,0.972420838,0.53836478
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION,0.803268641,0.550314465,0.890602656,0.540251572
GO_MISMATCH_REPAIR,0.715934627,0.503773585,0.72145046,0.37672956
GO_MACROPHAGE_DIFFERENTIATION,0.711235955,0.489937107,0.667517875,0.527672956
GO_PHARYNGEAL_SYSTEM_DEVELOPMENT,0.676813075,0.388679245,0.677425945,0.391194969
GO_REGULATION_OF_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,0.771807967,0.462893082,0.801327886,0.533333333
GO_MYELIN_ASSEMBLY,0.669662921,0.388050314,0.671092952,0.367924528
GO_HOMOTYPIC_CELL_CELL_ADHESION,0.820837589,0.552830189,0.857507661,0.524528302
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.753217569,0.655974843,0.774463739,0.560377358
GO_ERROR_PRONE_TRANSLESION_SYNTHESIS,0.641777324,0.620754717,0.623595506,0.62327044
GO_MAST_CELL_MEDIATED_IMMUNITY,0.679468846,0.47672956,0.66680286,0.437735849
GO_POSITIVE_REGULATION_OF_PROTEIN_DEACETYLATION,0.677834525,0.43836478,0.663840654,0.455974843
GO_NEGATIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.726864147,0.570440252,0.732482125,0.537106918
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE,0.654749745,0.493081761,0.656384065,0.511949686
GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.859244127,0.626415094,0.9,0.61509434
GO_UROGENITAL_SYSTEM_DEVELOPMENT,0.887231869,0.602515723,0.965474974,0.580503145
GO_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,0.825025536,0.66163522,0.904800817,0.638993711
GO_CELLULAR_RESPONSE_TO_ALCOHOL,0.805720123,0.708805031,0.849029622,0.564150943
GO_NEGATIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY,0.586823289,0.611320755,0.590909091,0.437735849
GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION,0.769969356,0.605031447,0.803779367,0.652830189
GO_CELL_JUNCTION_ASSEMBLY,0.869560776,0.52327044,0.89979571,0.503144654
GO_LATERAL_VENTRICLE_DEVELOPMENT,0.628396323,0.43081761,0.623697651,0.479874214
GO_MACROMOLECULE_CATABOLIC_PROCESS,0.866905005,0.620125786,0.958529111,0.541509434
GO_INTERACTION_WITH_SYMBIONT,0.748212462,0.529559748,0.759959142,0.499371069
GO_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS,0.731154239,0.459119497,0.740960163,0.40754717
GO_SMOOTHENED_SIGNALING_PATHWAY,0.796527068,0.528301887,0.836465781,0.360377358
GO_CELL_MIGRATION_IN_HINDBRAIN,0.686516854,0.470440252,0.657507661,0.58490566
GO_EYE_DEVELOPMENT,0.886721144,0.652830189,0.964044944,0.631446541
GO_TRIPARTITE_REGIONAL_SUBDIVISION,0.631971399,0.508176101,0.631562819,0.505660377
GO_ORGANIC_CATION_TRANSPORT,0.668028601,0.513207547,0.667824311,0.431446541
GO_SLEEP,0.721552605,0.554716981,0.708478039,0.542138365
GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION,0.87752809,0.586163522,0.969050051,0.55408805
GO_URATE_METABOLIC_PROCESS,0.672931563,0.462264151,0.668028601,0.474842767
GO_PROTEIN_DEPHOSPHORYLATION,0.869969356,0.552201258,0.925434116,0.442138365
GO_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS,0.824719101,0.557232704,0.895403473,0.465408805
GO_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,0.72206333,0.576100629,0.75485189,0.503773585
GO_REGULATION_OF_NEURON_DEATH,0.907252298,0.616981132,0.931562819,0.602515723
GO_TETRAHYDROFOLATE_INTERCONVERSION,0.541062308,0.546540881,0.541062308,0.546540881
GO_RESPONSE_TO_GAMMA_RADIATION,0.77711951,0.55408805,0.759141982,0.526415094
GO_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,0.761797753,0.571069182,0.813993871,0.525786164
GO_REGULATION_OF_CELL_DEATH,0.902553626,0.618238994,0.984473953,0.537106918
GO_REGULATION_OF_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY,0.73381001,0.528301887,0.7340143,0.505031447
GO_NEGATIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY,0.690296221,0.564150943,0.666905005,0.622012579
GO_NEGATIVE_REGULATION_OF_NF_KAPPAB_IMPORT_INTO_NUCLEUS,0.593871297,0.435849057,0.588151175,0.43836478
GO_POSITIVE_REGULATION_OF_PROTEIN_IMPORT,0.824106231,0.647169811,0.898467824,0.590566038
GO_MULTI_ORGANISM_METABOLIC_PROCESS,0.777017365,0.53081761,0.772522983,0.552201258
GO_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,0.756384065,0.651572327,0.765168539,0.633962264
GO_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS,0.895505618,0.513207547,0.908273749,0.526415094
GO_REGULATION_OF_BMP_SIGNALING_PATHWAY,0.813176711,0.613836478,0.839121553,0.486792453
GO_HEART_PROCESS,0.817058223,0.438993711,0.858120531,0.422012579
GO_MUSCLE_SYSTEM_PROCESS,0.887231869,0.525786164,0.956179775,0.471698113
GO_MESENCHYME_DEVELOPMENT,0.858631256,0.643396226,0.913074566,0.64591195
GO_TRANSCRIPTION_FROM_RNA_POLYMERASE_III_PROMOTER,0.665474974,0.559119497,0.65485189,0.570440252
GO_GLIAL_CELL_FATE_COMMITMENT,0.630541369,0.557232704,0.630541369,0.550943396
GO_POSITIVE_REGULATION_OF_PROTEOLYSIS,0.897752809,0.574842767,0.955362615,0.448427673
GO_REGULATION_OF_CILIUM_ASSEMBLY,0.768437181,0.525786164,0.785597549,0.544654088
GO_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY,0.659856997,0.567295597,0.65628192,0.566037736
GO_REGULATION_OF_TRANSLATIONAL_INITIATION_IN_RESPONSE_TO_STRESS,0.562512768,0.490566038,0.560061287,0.491823899
GO_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION,0.741675179,0.539622642,0.807252298,0.514465409
GO_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,0.782737487,0.582389937,0.760878447,0.604402516
GO_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,0.851378958,0.535849057,0.900510725,0.428301887
GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION,0.756996936,0.561006289,0.779673136,0.481761006
GO_MUSCLE_CELL_CELLULAR_HOMEOSTASIS,0.700510725,0.43836478,0.705209397,0.494968553
GO_T_CELL_LINEAGE_COMMITMENT,0.702349336,0.509433962,0.709908069,0.506918239
GO_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS,0.664862104,0.602515723,0.665270684,0.622641509
GO_RESPONSE_TO_LITHIUM_ION,0.743820225,0.512578616,0.726046987,0.566666667
GO_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM,0.571603677,0.466666667,0.572420838,0.467924528
GO_REGULATION_OF_FATTY_ACID_OXIDATION,0.728089888,0.564150943,0.715628192,0.518867925
GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,0.719407559,0.512578616,0.725331971,0.501886792
GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS,0.775076609,0.623899371,0.797752809,0.505660377
GO_ENDODERM_FORMATION,0.818386108,0.627044025,0.845863126,0.553459119
GO_POSITIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS,0.692134831,0.559119497,0.679060266,0.398113208
GO_REGULATION_OF_DEVELOPMENT_HETEROCHRONIC,0.625944842,0.568553459,0.626353422,0.562264151
GO_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER,0.734116445,0.710691824,0.751889683,0.562264151
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,0.836261491,0.547798742,0.855771195,0.504402516
GO_REGULATION_OF_MAP_KINASE_ACTIVITY,0.891113381,0.611949686,0.936261491,0.577358491
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION,0.616445352,0.420754717,0.606435138,0.400628931
GO_FEMALE_MEIOTIC_DIVISION,0.715423902,0.500628931,0.720429009,0.466037736
GO_REGULATION_OF_GLUTAMATE_SECRETION,0.684882533,0.508176101,0.675689479,0.511949686
GO_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS,0.734831461,0.48427673,0.743411645,0.479874214
GO_VACUOLE_FUSION,0.636057201,0.553459119,0.636874362,0.594968553
GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,0.75628192,0.486163522,0.758937692,0.555345912
GO_POSITIVE_REGULATION_OF_BONE_REMODELING,0.603472932,0.45408805,0.602042901,0.459119497
GO_HISTONE_H3_K4_TRIMETHYLATION,0.623186925,0.491194969,0.631767109,0.493710692
GO_PRE_MIRNA_PROCESSING,0.613278856,0.478616352,0.589581205,0.467295597
GO_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS,0.69918284,0.616981132,0.709703779,0.655974843
